match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,class
493017,8203,9987,2,1,Win
493025,9984,8342,1,3,Defeat
493027,8635,10000,2,0,Win
493034,8203,8635,2,1,Win
493040,10000,9999,0,0,Draw
493045,9991,10000,1,0,Win
493048,9999,8203,1,0,Win
493061,8635,8342,1,0,Win
493062,9999,9987,1,0,Win
493080,9984,9987,1,2,Defeat
493082,9999,9991,1,3,Defeat
493089,10000,9985,0,0,Draw
493092,9991,9984,2,1,Win
493094,10001,9999,1,0,Win
493097,9985,8342,2,0,Win
493103,8635,9999,3,1,Win
493105,9984,10001,2,1,Win
493106,9987,8635,0,2,Defeat
493107,9991,9985,0,1,Defeat
665321,9984,9991,1,3,Defeat
665322,9994,10000,1,1,Draw
665323,8571,8635,0,2,Defeat
665411,8342,8635,4,2,Win
665417,8203,9994,2,0,Win
665421,9993,10001,3,1,Win
665425,8342,9991,1,0,Win
665427,9987,8203,1,2,Defeat
665429,10000,9993,4,0,Win
665430,9994,9984,1,1,Draw
665435,10001,9985,2,0,Win
665438,9985,10000,1,1,Draw
665443,9984,8571,1,1,Draw
665445,8203,8635,0,2,Defeat
665536,8635,9994,2,0,Win
665541,9991,9993,0,1,Defeat
665543,8571,8203,2,0,Win
665548,9985,8342,3,1,Win
665554,9984,10001,2,1,Win
665556,9994,8571,0,0,Draw
665570,8635,9999,3,1,Win
665574,10000,8203,4,1,Win
665575,9991,9985,2,1,Win
665586,8635,8571,1,0,Win
665591,9991,9984,3,1,Win
665596,9993,9999,3,0,Win
665598,9985,9993,2,2,Draw
665603,9984,8635,1,3,Defeat
665604,9994,8342,0,1,Defeat
665619,10000,9984,1,0,Win
665626,8635,8342,3,2,Win
665632,9994,9991,0,1,Defeat
665633,8571,10001,1,1,Draw
665634,8203,9993,1,0,Win
665326,8342,9994,2,0,Win
665327,8635,9984,3,2,Win
665329,10000,9987,2,2,Draw
665330,9991,8203,2,1,Win
665332,10001,8571,1,1,Draw
665333,9993,9985,1,1,Draw
665639,8342,9984,2,1,Win
665641,9985,9994,2,0,Win
665647,9991,8635,2,2,Draw
665653,8635,10000,2,1,Win
665655,9984,9985,2,0,Win
